,8058.T,8031.T,8053.T,8002.T,8001.T,8015.T,8008.T,8016.T,7433.T,9768.T,"('8058.T', '8058.T')","('8031.T', '8031.T')","('8053.T', '8053.T')","('8002.T', '8002.T')","('8001.T', '8001.T')","('8015.T', '8015.T')","('8008.T', '8008.T')","('8016.T', '8016.T')","('7433.T', '7433.T')","('9768.T', '9768.T')","('8058.T', '8058.T').1","('8031.T', '8031.T').1","('8053.T', '8053.T').1","('8002.T', '8002.T').1","('8001.T', '8001.T').1","('8015.T', '8015.T').1","('8008.T', '8008.T').1","('8016.T', '8016.T').1","('7433.T', '7433.T').1","('9768.T', '9768.T').1"
2022-08-12,1257.7943115234375,1358.7318115234375,1633.360595703125,1166.569580078125,682.60986328125,1392.253662109375,1534.838623046875,229.4811553955078,2422.69580078125,1508.9866943359375,,,,,,,,,,,,,,,,,,,,
2022-08-15,1257.7943115234375,1361.3829345703125,1627.3900146484375,1170.884033203125,687.4409790039062,1390.7926025390625,1535.67333984375,229.4811553955078,2482.4658203125,1508.114501953125,,,,,,,,,,,,,,,,,,,,
2022-08-16,1261.6202392578125,1359.615478515625,1609.478515625,1158.80419921875,683.5045166015625,1383.488037109375,1536.5078125,227.7813262939453,2458.557861328125,1520.325927734375,,,,,,,,,,,,,,,,,,,,
2022-08-17,1280.160400390625,1379.0576171875,1640.6104736328125,1187.70947265625,694.7769775390625,1412.7064208984375,1551.5306396484375,228.6312713623047,2514.34375,1512.4757080078125,,,,,,,,,,,,,,,,,,,,
2022-08-18,1272.214599609375,1366.6854248046875,1628.2430419921875,1176.9239501953125,689.05126953125,1392.253662109375,1542.3502197265625,227.7813262939453,2514.34375,1495.903076171875,,,,,,,,,,,,,,,,,,,,
2022-08-19,1284.2803955078125,1380.824951171875,1638.4781494140625,1200.6522216796875,693.3455200195312,1398.097412109375,1536.5078125,229.4811553955078,2586.068115234375,1508.9866943359375,,,,,,,,,,,,,,,,,,,,
2022-08-22,1303.409423828125,1400.708984375,1648.28662109375,1211.0062255859375,697.2820434570312,1411.2454833984375,1535.67333984375,230.3311004638672,2574.1142578125,1521.1981201171875,,,,,,,,,,,,,,,,,,,,
2022-08-23,1298.112060546875,1391.429931640625,1633.360595703125,1207.5550537109375,688.1566772460938,1390.7926025390625,1521.48486328125,227.7813262939453,2558.175048828125,1496.775146484375,,,,,,,,,,,,,,,,,,,,
2022-08-24,1310.47216796875,1424.1278076171875,1661.080810546875,1225.6748046875,690.3037719726562,1447.7684326171875,1518.146728515625,227.7813262939453,2613.9609375,1503.7532958984375,,,,,,,,,,,,,,,,,,,,
2022-08-25,1331.07275390625,1438.7093505859375,1660.654296875,1227.83203125,692.8087768554688,1433.1591796875,1523.154052734375,226.931381225586,2598.0224609375,1508.9866943359375,,,,,,,,,,,,,,,,,,,,
2022-08-26,1338.4296875,1455.94189453125,1683.683349609375,1241.2060546875,697.8187866210938,1460.9166259765625,1514.80810546875,227.7813262939453,2605.9912109375,1516.8370361328125,,,,,,,,,,,,,,,,,,,,
2022-08-29,1332.5440673828125,1440.034912109375,1663.2130126953125,1235.59765625,686.1884155273438,1427.3155517578125,1523.154052734375,223.5316619873047,2598.0224609375,1504.6256103515625,,,,,,,,,,,,,,,,,,,,
2022-08-30,1364.0328369140625,1484.6630859375,1689.65380859375,1262.345703125,694.7769775390625,1460.9166259765625,1521.01904296875,229.4811553955078,2653.80810546875,1500.2642822265625,,,,,,,,,,,,,,,,,,,,
2022-08-31,1343.1385498046875,1443.1278076171875,1676.007080078125,1252.8544921875,687.619873046875,1433.1591796875,1525.289306640625,234.5807647705078,2649.8232421875,1513.3480224609375,,,,,,,,,,,,,,,,,,,,
2022-09-01,1294.874755859375,1402.476318359375,1637.625,1199.789306640625,659.5281372070312,1393.71435546875,1493.6903076171875,231.1810302734375,2689.669921875,1511.603515625,,,,,,,,,,,,,,,,,,,,
2022-09-02,1285.4576416015625,1390.1041259765625,1619.2872314453125,1189.86669921875,658.9913330078125,1387.870849609375,1472.339599609375,230.3311004638672,2697.6396484375,1489.7972412109375,,,,,,,,,,,,,,,,,,,,
2022-09-05,1286.634765625,1403.802001953125,1638.4781494140625,1204.5350341796875,664.8961181640625,1399.55810546875,1477.4637451171875,230.3311004638672,2761.39501953125,1491.5416259765625,,,,,,,,,,,,,,,,,,,,
2022-09-06,1283.6920166015625,1413.5230712890625,1644.44873046875,1202.8094482421875,662.212158203125,1402.47998046875,1491.1280517578125,236.2805938720703,2853.04248046875,1482.8193359375,,,,,,,,,,,,,,,,,,,,
2022-09-07,1269.56591796875,1394.964599609375,1633.360595703125,1190.2979736328125,666.5064086914062,1399.55810546875,1486.858154296875,233.7308349609375,2813.19580078125,1482.8193359375,,,,,,,,,,,,,,,,,,,,
2022-09-08,1287.517822265625,1416.615966796875,1658.095458984375,1210.574951171875,679.3892211914062,1437.5421142578125,1526.9971923828125,241.3802185058593,2833.119384765625,1491.5416259765625,,,,,,,,,,,,,,,,,,,,
2022-09-09,1287.517822265625,1424.5694580078125,1661.5074462890625,1217.4776611328125,684.041259765625,1457.9949951171875,1532.1214599609375,246.4797821044922,2841.088623046875,1495.903076171875,,,,,,,,,,,,,,,,,,,,
2022-09-12,1299.5833740234375,1434.7325439453125,1676.8599853515625,1219.634765625,685.8306884765625,1481.369384765625,1538.0997314453125,249.02957153320312,2888.9052734375,1492.4139404296875,,,,,,,,,,,,,,,,,,,,
2022-09-13,1303.409423828125,1447.1044921875,1687.09521484375,1227.83203125,691.3773193359375,1478.4476318359375,1543.2237548828125,249.02957153320312,2912.81298828125,1486.308349609375,,,,,,,,,,,,,,,,,,,,
2022-09-14,1299.2891845703125,1448.4302978515625,1673.021728515625,1226.106201171875,677.2420043945312,1447.7684326171875,1521.01904296875,248.1796112060547,2888.9052734375,1476.7135009765625,,,,,,,,,,,,,,,,,,,,
2022-09-15,1292.81494140625,1450.6395263671875,1674.30126953125,1220.9293212890625,677.0631103515625,1447.7684326171875,1530.413330078125,254.9790802001953,2876.951171875,1470.6077880859375,,,,,,,,,,,,,,,,,,,,
2022-09-16,1276.62890625,1449.7557373046875,1664.9189453125,1198.926513671875,675.0949096679688,1433.1591796875,1521.8731689453125,249.87950134277344,2781.318603515625,1458.396484375,,,,,,,,,,,,,,,,,,,,
2022-09-20,1285.751953125,1465.6629638671875,1682.83056640625,1220.497802734375,680.6416625976562,1441.9246826171875,1522.727294921875,254.12918090820312,2769.3642578125,1459.2686767578125,,,,,,,,,,,,,,,,,,,,
2022-09-21,1265.4459228515625,1420.15087890625,1654.6837158203125,1201.51513671875,667.580078125,1409.78466796875,1510.770751953125,253.2792205810547,2753.425537109375,1457.5240478515625,,,,,,,,,,,,,,,,,,,,
2022-09-22,1280.4547119140625,1437.3836669921875,1660.654296875,1207.986572265625,673.8424072265625,1427.3155517578125,1518.45703125,249.87950134277344,2797.2568359375,1454.907470703125,,,,,,,,,,,,,,,,,,,,
2022-09-26,1212.1793212890625,1365.8017578125,1573.6553955078125,1142.8414306640625,643.6036376953125,1354.2698974609375,1486.004150390625,239.6803436279297,2701.624267578125,1433.973388671875,,,,,,,,,,,,,,,,,,,,
2022-09-27,1225.128173828125,1382.1505126953125,1574.9349365234375,1147.1558837890625,647.0032348632812,1371.80078125,1488.5660400390625,243.9299774169922,2705.609130859375,1431.3568115234375,,,,,,,,,,,,,,,,,,,,
2022-09-28,1219.242431640625,1392.3134765625,1560.4351806640625,1135.9385986328125,638.9515380859375,1344.04345703125,1492.8363037109375,256.6789855957031,2665.76220703125,1429.6123046875,,,,,,,,,,,,,,,,,,,,
2022-09-29,1233.935546875,1424.7978515625,1609.308837890625,1153.7017822265625,653.8956298828125,1375.6749267578125,1512.47900390625,258.3787841796875,2736.02197265625,1452.2906494140625,,,,,,,,,,,,,,,,,,,,
2022-09-30,1189.855712890625,1393.6669921875,1587.29345703125,1126.1690673828125,638.040283203125,1336.8814697265625,1467.215576171875,248.1796112060547,2636.831298828125,1429.6123046875,,,,,,,,,,,,,,,,,,,,
2022-10-03,1213.2449951171875,1406.2998046875,1607.107177734375,1139.935302734375,649.1573486328125,1366.72265625,1465.5074462890625,250.7294311523437,2702.958740234375,1430.4844970703125,,,,,,,,,,,,,,,,,,,,
2022-10-04,1271.71826171875,1482.0965576171875,1699.571044921875,1220.3123779296875,703.2840576171875,1432.3729248046875,1484.2960205078125,257.52886962890625,2818.681884765625,1446.1849365234375,,,,,,,,,,,,,,,,,,,,
2022-10-05,1272.3179931640625,1486.1572265625,1699.571044921875,1218.98046875,704.3775634765625,1430.881103515625,1489.4202880859375,256.6789855957031,2851.745361328125,1435.718017578125,,,,,,,,,,,,,,,,,,,,
2022-10-06,1283.4130859375,1505.106201171875,1707.4962158203125,1232.74658203125,706.9290161132812,1436.8492431640625,1500.5224609375,268.5779724121094,2905.473876953125,1453.1629638671875,,,,,,,,,,,,,,,,,,,,
2022-10-07,1261.2232666015625,1480.2918701171875,1676.6751708984375,1211.875,701.643798828125,1420.4364013671875,1504.7926025390625,253.2792205810547,2934.40478515625,1433.973388671875,,,,,,,,,,,,,,,,,,,,
2022-10-11,1235.135009765625,1472.6220703125,1670.0706787109375,1179.4578857421875,690.3446044921875,1392.087646484375,1489.4202880859375,259.22869873046875,2781.4853515625,1398.2113037109375,,,,,,,,,,,,,,,,,,,,
2022-10-12,1226.4390869140625,1464.500732421875,1661.704833984375,1168.8001708984375,689.0689086914062,1377.166748046875,1500.5224609375,261.77850341796875,2731.889404296875,1381.6387939453125,,,,,,,,,,,,,,,,,,,,
2022-10-13,1202.449951171875,1446.4539794921875,1634.4061279296875,1142.1556396484375,681.596923828125,1365.2303466796875,1474.9017333984375,261.77850341796875,2698.82568359375,1331.920654296875,,,,,,,,,,,,,,,,,,,,
